Company,Platform,API Endpoint,Scraping Logic
Crypto.com,Lever,https://api.lever.co/v0/postings/crypto?mode=json,Standard Lever API. HTTP GET request. Data Path: Root level [array]. Field Mapping: title = 'text'; location = 'location'; link = 'hostedUrl'.
OKX,Greenhouse,https://boards-api.greenhouse.io/v1/boards/okx/jobs,Standard Greenhouse Public API. HTTP GET request. Data Path: Response JSON -> 'jobs' [array]. Field Mapping: title = 'title'; location = 'location.name'; link = 'absolute_url'; updated_at = 'updated_at'.
Airwallex,Ashby,https://api.ashbyhq.com/posting-api/job-board/airwallex,"""Standard Ashby Public API (GET). "" ""Data Path: root -> 'jobs' [array]. "" ""Field Mapping: title = 'title'; location = 'location'; link = 'jobUrl'. "" ""Metadata available: 'publishedAt' for recency sorting."""
Reap,Teamtailor,https://api.teamtailor.com/v1/jobs?&api_key=iUbocs9moeSzxM9GVLb2bQ7k_-qEwy1MlW3qf2Fl&api_version=20161108,"""Official Teamtailor API (v1). GET request with query-param auth. "" ""Data Path: json -> 'data' [array]. "" ""Field Mapping: title = 'attributes.title'; "" ""link = 'links.careersite-job-url'; "" ""location = 'attributes.remote-status' (or include locations in query). "" ""Posted Date: 'attributes.created-at' (Good for sorting)."
AQUMON,Gatsby (i18n Map),https://www.aqumon.com/page-data/en/about/career/page-data.json,"""Gatsby Static JSON. Logic: Iterate keys starting with 'career.job.jobsInfo.'. "" ""Key structure is [prefix].[slug].[field]. Group by [slug]. "" ""Field Mapping: title = '.title'; location = '.location'; department = '.department'. "" ""Filter: Include if 'Hong Kong' in location string."""
Goldman Sachs,Oracle Cloud HCM,https://hdpc.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions,"Type: REST API. Logic: Must use the finder parameter. Finder Syntax: finder=findReqs;siteNumber=CX_3002,sortBy=POSTING_DATES_DESC Pagination: Use limit and offset inside the query string."
J.P. Morgan,Unknown,,
Citi,Eightfold.ai,,
Bank of America,Workday,,
UBS,Unknown,,
Barclays,Workday,Refer to scraping logic for full Example,"import requests import time from bs4 import BeautifulSoup def scrape_barclays_master(): session = requests.Session() url = ""https://search.jobs.barclays/search-jobs/results"" base_domain = ""https://search.jobs.barclays"" all_jobs = [] current_page = 1 # Start at page 1 headers = { ""User-Agent"": ""Mozilla/5.0"", ""X-Requested-With"": ""XMLHttpRequest"", ""Accept"": ""application/json"" } # --- START OF PASTE BLOCK --- while True: # Every time the loop runs, we update the CurrentPage params = { ""CurrentPage"": current_page, ""RecordsPerPage"": 16, ""SearchType"": 3, ""FacetTerm"": ""1819730"", # Hong Kong ID ""FacetType"": 2, ""FacetFilters[0].ID"": ""1819730"", ""FacetFilters[0].FacetType"": 2, ""FacetFilters[0].Display"": ""Hong Kong China"", ""FacetFilters[0].IsApplied"": ""true"", ""OrganizationIds"": ""13015"", ""SearchResultsModuleName"": ""Search Results"" } print(f""📡 Fetching Page {current_page}..."") try: response = session.get(url, params=params, headers=headers) data = response.json() # 1. Extract the HTML from the JSON results key html_content = data.get(""results"", """") if not html_content.strip(): # Check if it's empty or just whitespace print(""🏁 No more jobs found (Empty results). Ending scrape."") break # 2. Parse that specific HTML string soup = BeautifulSoup(html_content, ""html.parser"") batch = soup.select(""a[data-job-id]"") # Target the job links if not batch: print(""🏁 Page returned but contained no job cards. Ending."") break # 3. Process the batch for link in batch: title_tag = link.find([""h2"", ""h3""]) title = title_tag.get_text(strip=True) if title_tag else link.get_text(strip=True) # RECONSTRUCTION: Always prepend the domain to relative links full_url = base_domain + link['href'] all_jobs.append({""title"": title, ""url"": full_url}) print(f""✅ Page {current_page} success: Added {len(batch)} jobs."") # 4. Preparation for the next lap current_page += 1 time.sleep(1.5) # Anti-bot delay except Exception as e: print(f""❌ Error on page {current_page}: {e}"") break # --- END OF PASTE BLOCK --- print(f""\n✨ Scrape Complete! Total jobs collected: {len(all_jobs)}"") return all_jobs # Run the master script scrape_barclays_master()"
BNP Paribas,Unknown,,
Societe Generale,Oracle Taleo,,
HSBC,Eightfold.ai,https://portal.careers.hsbc.com/api/apply/v2/jobs?domain=hsbc.com,"HTTP GET request. Pagination: Append '&start=[offset]' to endpoint, incrementing by 10 per page until 'positions' array is empty. Data Path: Response JSON -> 'positions' [array]. Field Mapping: title = 'name'; location = 'location'; link = 'canonicalPositionUrl'; unique_id = 'id'."
Standard Chartered,Unknown,,
DBS Bank,Workday,,
OCBC,Oracle Taleo,,
Jane Street,Unknown,,
Optiver,Unknown,,
Citadel Securities,Unknown,,
Flow Traders,Unknown,,
Point72,Greenhouse,https://boards-api.greenhouse.io/v1/boards/point72/jobs,
Bloomberg,Unknown,,
HKMA,Custom (SSR Table),https://www.hkma.gov.hk/eng/about-us/join-us/current-vacancies/,"Type: HTML Parsing (DOM). Selector: table.small-table tbody tr. Logic: Find all rows; first td contains title/link, second td contains date. Link Note: Links are relative (must prepend base domain)."
SFC,Unknown,,
